%time,field.data
1538332715065211831,400
1538332715167080042,408
1538332715280413014,404
1538332715383522392,402
1538332715475691980,400
1538332715575256499,406
1538332715672466334,399
1538332715793282609,405
1538332715912297077,403
1538332716011245557,405
1538332716131787142,402
1538332716251277362,403
1538332716347401533,407
1538332716451359925,435
1538332716538199665,398
1538332716639799504,401
1538332716742483729,402
1538332716918570757,530
1538332717020607202,520
1538332717060996571,398
1538332717163225501,432
1538332717282360998,406
1538332717411177668,400
1538332717463798587,403
1538332717577394677,402
1538332717687219751,405
1538332717803244085,402
1538332717903331723,401
1538332718003235412,403
1538332718111483190,417
1538332718207704884,445
1538332718311703831,405
